Uuid,Void/Retire,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,_version:1,_order:24
942bcf50-7095-4c63-879e-8bcbaaef9d31,,Granulomas,Granulomas,Granulomas,Misc,N/A,,,
0abc6046-0b7b-4a86-a693-abc5b2f208ef,,Membrane,Membrane,Membrane,Misc,N/A,,,
65030e78-c94a-4c0d-8f21-f9058755a597,,Pseudo membrane,Pseudo membrane,Pseudo membrane,Misc,N/A,,,
0a0b96c7-b990-4e05-891c-051c88a22fe8,,Scar,Scar,Scar,Misc,N/A,,,
2b006db8-84e5-41ca-ad05-33762981c05f,,Tear,Tear,Tear,Misc,N/A,,,
c04d47d1-6019-4970-b217-e4c9d88cb455,,Short fornix,Short fornix,Short fornix,Misc,N/A,,,
c487393c-08c1-4260-a830-7c6370948de9,,Abrations,Abrations,Abrations,Misc,N/A,,,
3fa79dde-12e6-457c-adec-c5204963d965,,Punctate epithelial erosions,Punctate epithelial erosions,Punctate epithelial erosions,Misc,N/A,,,
001782c2-8ae5-4e6a-b451-2ef5addd1146,,Paracentral corneal ulcer,Paracentral corneal ulcer,Paracentral corneal ulcer,Misc,N/A,,,
ee620ade-269b-48d6-8337-7be3bb2186f3,,Peripheral corneal ulcer,Peripheral corneal ulcer,Peripheral corneal ulcer,Misc,N/A,,,
89909fbb-1ac4-4d83-99ec-226401557fa5,,Deep ulcer,Deep ulcer,Deep ulcer,Misc,N/A,,,
39d1bda3-96d1-4468-8c98-2f2df5cc4f0d,,Corneal epithelial defect,Corneal epithelial defect,Corneal epithelial defect,Misc,N/A,,,
624a3ff3-d674-4337-9565-c4bd08d46e0b,,Dendritic keratitis,Dendritic keratitis,Dendritic keratitis,Misc,N/A,,,
dda11da5-50b5-4b2d-ac50-ad4f41ba5235,,Geographic keratitis,Geographic keratitis,Geographic keratitis,Misc,N/A,,,
27791a8d-2176-47b1-ac92-398d6449d8a2,,Discform keratitis,Discform keratitis,Discform keratitis,Misc,N/A,,,
